"","age_group","pp_ratio"
"1","[40,45)",0.0559858139530882
"2","[45,50)",0.0783471492319396
"3","[50,55)",0.104035809374751
"4","[55,60)",0.134143452654876
"5","[60,65)",0.170719698268645
"6","[65,70)",0.179438710193653
"7","[70,75)",0.18385199640154
"8","[75,80)",0.200053216650885
"9","[80,120]",0.208915045680819
