category,concept_id,score,fi
DuraMed,2616683,1,vafi
DuraMed,2616684,1,vafi
DuraMed,2616686,1,vafi
DuraMed,2616687,1,vafi
DuraMed,2616785,1,vafi
DuraMed,2616786,1,vafi
DuraMed,2616787,1,vafi
DuraMed,2616790,1,vafi
DuraMed,2616791,1,vafi
DuraMed,2616792,1,vafi
DuraMed,2616793,1,vafi
DuraMed,2616794,1,vafi
DuraMed,2616796,1,vafi
DuraMed,2616827,1,vafi
DuraMed,2616835,1,vafi
DuraMed,2616836,1,vafi
DuraMed,2616837,1,vafi
DuraMed,2616838,1,vafi
DuraMed,2616839,1,vafi
DuraMed,2616840,1,vafi
DuraMed,2616841,1,vafi
DuraMed,2616842,1,vafi
DuraMed,2616843,1,vafi
DuraMed,2616844,1,vafi
DuraMed,2616847,1,vafi
DuraMed,2616848,1,vafi
DuraMed,2616849,1,vafi
DuraMed,2616850,1,vafi
DuraMed,2616851,1,vafi
DuraMed,2616858,1,vafi
DuraMed,2616859,1,vafi
DuraMed,2616860,1,vafi
DuraMed,2616861,1,vafi
DuraMed,2616862,1,vafi
DuraMed,2616864,1,vafi
DuraMed,2616865,1,vafi
DuraMed,2616872,1,vafi
DuraMed,2616874,1,vafi
DuraMed,2616876,1,vafi
DuraMed,2616877,1,vafi
DuraMed,2616879,1,vafi
DuraMed,2616888,1,vafi
DuraMed,2616889,1,vafi
DuraMed,2616901,1,vafi
DuraMed,2616902,1,vafi
DuraMed,2616903,1,vafi
DuraMed,2616904,1,vafi
DuraMed,2616905,1,vafi
DuraMed,2616906,1,vafi
DuraMed,2616907,1,vafi
DuraMed,2616908,1,vafi
DuraMed,2616909,1,vafi
DuraMed,2616911,1,vafi
DuraMed,2616912,1,vafi
DuraMed,2616913,1,vafi
DuraMed,2616914,1,vafi
DuraMed,2616915,1,vafi
DuraMed,2616916,1,vafi
DuraMed,2616917,1,vafi
DuraMed,2616918,1,vafi
DuraMed,2616919,1,vafi
DuraMed,2616929,1,vafi
DuraMed,2616930,1,vafi
DuraMed,2616931,1,vafi
DuraMed,2616964,1,vafi
DuraMed,2616966,1,vafi
