"","age_group","is_female","category","n_yes","prop_yes","fi"
"77","[50,55)",0,"Memory & cognitive problems",556,0.00169285105346486,"efragicap"
"78","[50,55)",1,"Memory & cognitive problems",666,0.00184643535396942,"efragicap"
"79","[55,60)",0,"Memory & cognitive problems",1018,0.00291214921188889,"efragicap"
"80","[55,60)",1,"Memory & cognitive problems",1206,0.00313355003156935,"efragicap"
"81","[60,65)",0,"Memory & cognitive problems",1811,0.00526110904527285,"efragicap"
"82","[60,65)",1,"Memory & cognitive problems",1952,0.0050739781860528,"efragicap"
"83","[65,70)",0,"Memory & cognitive problems",3451,0.0122726658463552,"efragicap"
"84","[65,70)",1,"Memory & cognitive problems",3781,0.0118770516263802,"efragicap"
"85","[70,75)",1,"Memory & cognitive problems",6958,0.0284465594708073,"efragicap"
"86","[70,75)",0,"Memory & cognitive problems",5685,0.0281510898953185,"efragicap"
"87","[75,80)",1,"Memory & cognitive problems",11809,0.0633017244614073,"efragicap"
"88","[75,80)",0,"Memory & cognitive problems",9041,0.0597278192508423,"efragicap"
"89","[80,100]",0,"Memory & cognitive problems",29376,0.153628918384637,"efragicap"
"90","[80,100]",1,"Memory & cognitive problems",58329,0.19793274989735,"efragicap"
"91","[40,45)",1,"Osteoporosis",896,0.00273904763069323,"efragicap"
"92","[40,45)",0,"Osteoporosis",692,0.00230328084382624,"efragicap"
"93","[45,50)",1,"Osteoporosis",1695,0.00505244708344139,"efragicap"
"94","[45,50)",0,"Osteoporosis",763,0.00250081940347427,"efragicap"
"95","[50,55)",1,"Osteoporosis",3944,0.0109384793738664,"efragicap"
"96","[50,55)",0,"Osteoporosis",1085,0.00330369648620669,"efragicap"
"97","[55,60)",1,"Osteoporosis",10392,0.0270265350015994,"efragicap"
"98","[55,60)",0,"Osteoporosis",1607,0.00459733943641825,"efragicap"
"99","[60,65)",1,"Osteoporosis",20087,0.0523085336319367,"efragicap"
"100","[60,65)",0,"Osteoporosis",2096,0.00608907597691032,"efragicap"
"101","[65,70)",0,"Osteoporosis",2852,0.0101401920663308,"efragicap"
"102","[65,70)",1,"Osteoporosis",31111,0.0980806940775163,"efragicap"
"103","[70,75)",0,"Osteoporosis",3374,0.0167013993733263,"efragicap"
"104","[70,75)",1,"Osteoporosis",33312,0.136336289632761,"efragicap"
"105","[75,80)",1,"Osteoporosis",30644,0.164332139256526,"efragicap"
"106","[75,80)",0,"Osteoporosis",3862,0.025498144749178,"efragicap"
"107","[80,100]",1,"Osteoporosis",58114,0.197090812897012,"efragicap"
"108","[80,100]",0,"Osteoporosis",7685,0.0401529836514397,"efragicap"
