"","category","avg","std","median","p05","p25","p75","p95"
"1","AFIB",18.1719881814716,23.0606323183304,10.9774590163934,2.99385245901639,4.98975409836066,19.4600409836066,59.2782786885246
"2","Anemia",140.535749889234,168.540796482104,46.4047131147541,1.64661885245902,5.23924180327869,265.953893442623,380.718237704918
"3","Anxiety",15.6149951783992,19.9598382183745,6.98565573770492,0.997950819672131,3.49282786885246,18.4620901639344,59.8770491803279
"4","Arthritis",10.9134878100042,13.1080870565268,5.48872950819672,0.997950819672131,2.99385245901639,12.9733606557377,31.9344262295082
"5","CAD",15.2856857257097,17.4688929904717,8.48258196721311,1.04784836065574,3.99180327868852,20.7074795081967,43.760143442623
"6","CVA",23.9508196721311,51.7917887681455,7.98360655737705,0.997950819672131,2.99385245901639,22.952868852459,59.2782786885246
"7","Cancer",33.2378721980596,44.8047337502986,17.9631147540984,0.997950819672131,3.99180327868852,43.9098360655738,112.968032786885
"8","Chronpain",7.29271752837327,10.3384953118565,4.98975409836066,0.997950819672131,1.99590163934426,7.98360655737705,19.2604508196721
"9","Dementia",24.4497950819672,32.5086239595694,12.9733606557377,2.44497950819672,7.23514344262295,23.7013319672131,80.784118852459
"10","Depress",14.8404944473823,18.0641560981284,8.98155737704918,1.99590163934426,2.99385245901639,18.9610655737705,37.8722336065574
"11","Diabetes",25.9836824529447,41.0629953669186,13.4723360655738,1.99590163934426,5.98770491803279,28.9405737704918,84.7260245901639
"12","Falls",12.1971766848816,13.8853218536614,5.98770491803279,0.997950819672131,1.99590163934426,16.9651639344262,38.7204918032787
"13","Fatigue",5.27863459879206,7.1735032469221,1.99590163934426,0.997950819672131,0.997950819672131,4.98975409836066,24.9487704918033
"14","FtoThrive",5.98770491803279,NA,5.98770491803279,5.98770491803279,5.98770491803279,5.98770491803279,5.98770491803279
"15","GaitAb",31.8928449453552,60.2907106172536,7.48463114754098,0.997950819672131,3.99180327868852,32.1839139344262,120.652254098361
"16","HF",39.6435963114754,45.1287188523232,31.4354508196721,1.94600409836066,6.73616803278689,50.1470286885246,137.367930327869
"17","HTN",17.003181108509,31.0343363146023,6.98565573770492,1.99590163934426,3.99180327868852,13.9713114754098,74.946106557377
"18","Hearing",2.49487704918033,1.28834896830807,2.49487704918033,1.14764344262295,1.74641393442623,3.24334016393443,3.8421106557377
"19","Incont",6.8193306010929,6.35614507238301,4.49077868852459,1.74641393442623,3.99180327868852,7.23514344262295,16.2167008196721
"20","Kidney",146.862071535022,251.257833475302,6.98565573770492,0.997950819672131,2.74436475409836,222.293545081967,637.989959016393
"21","Liver",8.98155737704918,9.08393705017568,5.98770491803279,1.34723360655738,2.74436475409836,11.2269467213115,23.8011270491803
"22","Lung",13.8261549925484,16.3939763202612,6.98565573770492,0.997950819672131,2.99385245901639,18.9610655737705,46.7040983606557
"23","Muscular",19.9240005752085,29.7298702259612,5.98770491803279,0.997950819672131,2.99385245901639,19.9590163934426,83.2290983606557
"24","Osteo",9.27507232401157,12.8080519807695,2.99385245901639,0.997950819672131,1.99590163934426,9.97950819672131,29.7389344262295
"25","PD",17.4641393442623,23.5240070897979,6.48668032786885,0.997950819672131,2.49487704918033,24.6992827868852,64.5175204918033
"26","PVD",16.4567738942159,20.3802573198441,6.98565573770492,1.99590163934426,3.99180327868852,19.9590163934426,54.6877049180328
"27","PerNeuro",16.1572989851678,19.3675943824892,7.98360655737705,3.04375,5.23924180327869,15.9672131147541,55.3363729508196
"28","Thyroid",6.66023699215966,11.0908900563884,2.99385245901639,0.997950819672131,1.99590163934426,7.98360655737705,17.4641393442623
"29","Vision",4.20874910905203,4.99842439872819,2.99385245901639,0.997950819672131,0.997950819672131,3.49282786885246,15.6678278688525
"30","WgtLoss",1.66325136612022,1.20857846102088,0.997950819672131,0.997950819672131,0.997950819672131,1.74641393442623,3.49282786885246
