category,concept_id,score,fi,chronic_category
Anaemia and haematinic deficiency,443961,1,efi_sno,0
Anaemia and haematinic deficiency,44789939,1,efi_sno,0
Anaemia and haematinic deficiency,44789940,1,efi_sno,0
Anaemia and haematinic deficiency,40479193,1,efi_sno,0
Anaemia and haematinic deficiency,44806268,1,efi_sno,0
Anaemia and haematinic deficiency,432875,1,efi_sno,0
Anaemia and haematinic deficiency,4143351,1,efi_sno,0
Anaemia and haematinic deficiency,4146086,1,efi_sno,0
Anaemia and haematinic deficiency,4184758,1,efi_sno,0
Anaemia and haematinic deficiency,434894,1,efi_sno,0
Anaemia and haematinic deficiency,40351339,1,efi_sno,0
Anaemia and haematinic deficiency,40351340,1,efi_sno,0
Anaemia and haematinic deficiency,432295,1,efi_sno,0
Anaemia and haematinic deficiency,4153000,1,efi_sno,0
Anaemia and haematinic deficiency,37393847,1,efi_sno,0
Arthritis,4058299,1,efi_sno,1
Arthritis,4060067,1,efi_sno,1
Arthritis,4056705,1,efi_sno,1
Arthritis,4058913,1,efi_sno,1
Arthritis,4079526,1,efi_sno,1
Arthritis,40263189,1,efi_sno,1
Arthritis,4101113,1,efi_sno,1
Arthritis,4096347,1,efi_sno,1
Arthritis,440674,1,efi_sno,1
Arthritis,74892,1,efi_sno,1
Arthritis,4116142,1,efi_sno,1
Arthritis,74125,1,efi_sno,1
Arthritis,80809,1,efi_sno,1
Arthritis,4116439,1,efi_sno,1
Arthritis,437082,1,efi_sno,1
Arthritis,4114439,1,efi_sno,1
Arthritis,4116149,1,efi_sno,1
Arthritis,4116440,1,efi_sno,1
Arthritis,4116441,1,efi_sno,1
Arthritis,4116442,1,efi_sno,1
Arthritis,4116443,1,efi_sno,1
Arthritis,4114440,1,efi_sno,1
Arthritis,4116150,1,efi_sno,1
Arthritis,4116444,1,efi_sno,1
Arthritis,4116151,1,efi_sno,1
Arthritis,4116445,1,efi_sno,1
Arthritis,4116446,1,efi_sno,1
Arthritis,4116152,1,efi_sno,1
Arthritis,4179378,1,efi_sno,1
Arthritis,4114441,1,efi_sno,1
Arthritis,4116153,1,efi_sno,1
Arthritis,4114442,1,efi_sno,1
Arthritis,4114444,1,efi_sno,1
Arthritis,80180,1,efi_sno,1
Arthritis,75617,1,efi_sno,1
Arthritis,4116451,1,efi_sno,1
Arthritis,72405,1,efi_sno,1
Arthritis,40400725,1,efi_sno,1
Arthritis,4079749,1,efi_sno,1
Arthritis,4079750,1,efi_sno,1
Arthritis,73553,1,efi_sno,1
Arthritis,40403943,1,efi_sno,1
Arthritis,78230,1,efi_sno,1
Arthritis,4035611,1,efi_sno,1
Arthritis,4159739,1,efi_sno,1
Arthritis,4286642,1,efi_sno,1
Arthritis,4083556,1,efi_sno,1
Arthritis,4035427,1,efi_sno,1
Arthritis,4035439,1,efi_sno,1
Arthritis,4117686,1,efi_sno,1
Arthritis,4115161,1,efi_sno,1
Arthritis,4117687,1,efi_sno,1
Arthritis,78227,1,efi_sno,1
Arthritis,4201228,1,efi_sno,1
Arthritis,4147418,1,efi_sno,1
Arthritis,40481048,1,efi_sno,1
Arthritis,4138870,1,efi_sno,1
Arthritis,4078547,1,efi_sno,1
Arthritis,4291025,1,efi_sno,1
Arthritis,4167092,1,efi_sno,1
Arthritis,4077228,1,efi_sno,1
Arthritis,4078299,1,efi_sno,1
Atrial fibrillation,4061098,1,efi_sno,0
Atrial fibrillation,4064452,1,efi_sno,0
Atrial fibrillation,4065288,1,efi_sno,0
Atrial fibrillation,4020234,1,efi_sno,0
Atrial fibrillation,4108832,1,efi_sno,0
Atrial fibrillation,313217,1,efi_sno,0
Atrial fibrillation,314665,1,efi_sno,0
Atrial fibrillation,4119601,1,efi_sno,0
Atrial fibrillation,4119602,1,efi_sno,0
Atrial fibrillation,4154290,1,efi_sno,0
Atrial fibrillation,4117112,1,efi_sno,0
Atrial fibrillation,4194288,1,efi_sno,0
Atrial fibrillation,4199501,1,efi_sno,0
Atrial fibrillation,4047554,1,efi_sno,0
Atrial fibrillation,44803652,1,efi_sno,0
Atrial fibrillation,44803909,1,efi_sno,0
Atrial fibrillation,44803842,1,efi_sno,0
Atrial fibrillation,44790918,1,efi_sno,0
Atrial fibrillation,4232697,1,efi_sno,0
Atrial fibrillation,4232691,1,efi_sno,0
Atrial fibrillation,40345197,1,efi_sno,0
Atrial fibrillation,44792469,1,efi_sno,0
Atrial fibrillation,35609719,1,efi_sno,0
Atrial fibrillation,42536433,1,efi_sno,0
Atrial fibrillation,35621770,1,efi_sno,0
Atrial fibrillation,44806840,1,efi_sno,0
Cerebrovascular disease,4077982,1,efi_sno,1
Cerebrovascular disease,4058289,1,efi_sno,1
Cerebrovascular disease,4015738,1,efi_sno,1
Cerebrovascular disease,4338523,1,efi_sno,1
Cerebrovascular disease,381591,1,efi_sno,1
Cerebrovascular disease,40392702,1,efi_sno,1
Cerebrovascular disease,4111709,1,efi_sno,1
Cerebrovascular disease,442615,1,efi_sno,1
Cerebrovascular disease,40392729,1,efi_sno,1
Cerebrovascular disease,441874,1,efi_sno,1
Cerebrovascular disease,373503,1,efi_sno,1
Cerebrovascular disease,4112021,1,efi_sno,1
Cerebrovascular disease,381316,1,efi_sno,1
Cerebrovascular disease,4111710,1,efi_sno,1
Cerebrovascular disease,4111711,1,efi_sno,1
Cerebrovascular disease,4112022,1,efi_sno,1
Cerebrovascular disease,316437,1,efi_sno,1
Cerebrovascular disease,4006976,1,efi_sno,1
Cerebrovascular disease,4180770,1,efi_sno,1
Cerebrovascular disease,434056,1,efi_sno,1
Cerebrovascular disease,435959,1,efi_sno,1
Cerebrovascular disease,4014781,1,efi_sno,1
Cerebrovascular disease,4017107,1,efi_sno,1
Cerebrovascular disease,4046093,1,efi_sno,1
Cerebrovascular disease,4046358,1,efi_sno,1
Cerebrovascular disease,4046359,1,efi_sno,1
Cerebrovascular disease,4046360,1,efi_sno,1
Cerebrovascular disease,4046362,1,efi_sno,1
Cerebrovascular disease,4046363,1,efi_sno,1
Cerebrovascular disease,4045747,1,efi_sno,1
Cerebrovascular disease,4045748,1,efi_sno,1
Cerebrovascular disease,4045755,1,efi_sno,1
Cerebrovascular disease,4136546,1,efi_sno,1
Cerebrovascular disease,42872427,1,efi_sno,1
Cerebrovascular disease,42873122,1,efi_sno,1
Cerebrovascular disease,4134162,1,efi_sno,1
Cerebrovascular disease,4079008,1,efi_sno,1
Cerebrovascular disease,4090122,1,efi_sno,1
Cerebrovascular disease,4106058,1,efi_sno,1
Cerebrovascular disease,4143575,1,efi_sno,1
Cerebrovascular disease,4143576,1,efi_sno,1
Cerebrovascular disease,4137423,1,efi_sno,1
Cerebrovascular disease,4145413,1,efi_sno,1
Cerebrovascular disease,4196275,1,efi_sno,1
Cerebrovascular disease,44783213,1,efi_sno,1
Cerebrovascular disease,44803773,1,efi_sno,1
Cerebrovascular disease,44803688,1,efi_sno,1
Cerebrovascular disease,44810067,1,efi_sno,1
Cerebrovascular disease,44787895,1,efi_sno,1
Cerebrovascular disease,4136755,1,efi_sno,1
Cerebrovascular disease,4215086,1,efi_sno,1
Cerebrovascular disease,4217709,1,efi_sno,1
Cerebrovascular disease,4212690,1,efi_sno,1
Cerebrovascular disease,4136455,1,efi_sno,1
Cerebrovascular disease,4215836,1,efi_sno,1
Cerebrovascular disease,4214819,1,efi_sno,1
Cerebrovascular disease,4217246,1,efi_sno,1
Cerebrovascular disease,44788885,1,efi_sno,1
Cerebrovascular disease,44790196,1,efi_sno,1
Cerebrovascular disease,44813770,1,efi_sno,1
Cerebrovascular disease,44801726,1,efi_sno,1
Cerebrovascular disease,44801895,1,efi_sno,1
Cerebrovascular disease,376713,1,efi_sno,1
Cerebrovascular disease,40345206,1,efi_sno,1
Cerebrovascular disease,40345207,1,efi_sno,1
Cerebrovascular disease,42873157,1,efi_sno,1
Cerebrovascular disease,4097325,1,efi_sno,1
Chronic kidney disease,4041883,1,efi_sno,1
Chronic kidney disease,192279,1,efi_sno,1
Chronic kidney disease,200687,1,efi_sno,1
Chronic kidney disease,443731,1,efi_sno,1
Chronic kidney disease,4099216,1,efi_sno,1
Chronic kidney disease,40395140,1,efi_sno,1
Chronic kidney disease,42537890,1,efi_sno,1
Chronic kidney disease,75650,1,efi_sno,1
Chronic kidney disease,46271022,1,efi_sno,1
Chronic kidney disease,4128221,1,efi_sno,1
Chronic kidney disease,4030664,1,efi_sno,1
Chronic kidney disease,4222553,1,efi_sno,1
Chronic kidney disease,4295011,1,efi_sno,1
Chronic kidney disease,4223739,1,efi_sno,1
Chronic kidney disease,4221487,1,efi_sno,1
Chronic kidney disease,44803834,1,efi_sno,1
Chronic kidney disease,44803801,1,efi_sno,1
Chronic kidney disease,443597,1,efi_sno,1
Chronic kidney disease,443612,1,efi_sno,1
Chronic kidney disease,443611,1,efi_sno,1
Chronic kidney disease,44791021,1,efi_sno,1
Chronic kidney disease,45763854,1,efi_sno,1
Chronic kidney disease,45763855,1,efi_sno,1
Chronic kidney disease,44792230,1,efi_sno,1
Chronic kidney disease,44792231,1,efi_sno,1
Chronic kidney disease,44792232,1,efi_sno,1
Chronic kidney disease,44792249,1,efi_sno,1
Chronic kidney disease,44792250,1,efi_sno,1
Chronic kidney disease,44792251,1,efi_sno,1
Chronic kidney disease,44792252,1,efi_sno,1
Chronic kidney disease,44792253,1,efi_sno,1
Chronic kidney disease,44792254,1,efi_sno,1
Chronic kidney disease,44792255,1,efi_sno,1
Chronic kidney disease,43021961,1,efi_sno,1
Chronic kidney disease,4213477,1,efi_sno,1
Chronic kidney disease,37392374,1,efi_sno,1
Chronic kidney disease,37393926,1,efi_sno,1
Chronic kidney disease,37392915,1,efi_sno,1
Chronic kidney disease,37394227,1,efi_sno,1
Chronic kidney disease,37399120,1,efi_sno,1
Chronic kidney disease,37394367,1,efi_sno,1
Chronic kidney disease,37398786,1,efi_sno,1
